,Titre,Commentaires,Date,Lien,Auteur,Lien auteur
51,"La Louve, Le Flon, le réseau : Fontaines à boire et Journée Mondiale de l’Eau",0,2018-03-22T14:54:40+00:00,https://www.lausannebondyblog.ch/la-louve-le-flon-le-reseau-fontaines-a-boire-et-journee-mondiale-de-leau/,Mathilde,['https://www.lausannebondyblog.ch/author/mathilde/']
52,"Fontaine, où es-tu ? Concours pour la Journée Mondiale de l’Eau",0,2018-03-22T09:31:26+00:00,https://www.lausannebondyblog.ch/fontaine-ou-es-tu-concours-pour-la-journee-mondiale-de-leau/,Mathilde,['https://www.lausannebondyblog.ch/author/mathilde/']
53,OCUB 116 : Se tourner les pouces ? Impossible !,0,2018-04-09T00:05:18+00:00,https://www.lausannebondyblog.ch/ocub-116-se-tourner-les-pouces-impossible/,Camille Borgeaud,['https://www.lausannebondyblog.ch/author/camille/']
54,Un regard sur Lausanne : Le politicien devenu graffeur,0,2018-04-12T15:16:48+00:00,https://www.lausannebondyblog.ch/un-regard-sur-lausanne-le-politicien-devenu-graffeur/,Yoan,['https://www.lausannebondyblog.ch/author/yoan/']
55,Le blogueur local ou l’obsession malsaine de sa propre ville,0,2018-03-14T11:52:29+00:00,https://www.lausannebondyblog.ch/le-blogueur-local-ou-lobsession-malsaine-de-sa-propre-ville/,Mathilde,['https://www.lausannebondyblog.ch/author/mathilde/']
56,Jacob Banks et sa soul contagieuse débarquent aux Docks,0,2018-03-21T15:31:33+00:00,https://www.lausannebondyblog.ch/jacob-banks-et-sa-soul-contagieuse-debarquent-aux-docks/,Yoan,['https://www.lausannebondyblog.ch/author/yoan/']
57,Ceci n’est pas un compliment,1,2018-03-08T08:10:44+00:00,https://www.lausannebondyblog.ch/ceci-nest-pas-un-compliment/,Cristina,['https://www.lausannebondyblog.ch/author/cristina_sanchez/']
58,OCUB 115 : La neige fond à Lausanne mais l’offre culturelle reste solide !,0,2018-04-09T00:06:20+00:00,https://www.lausannebondyblog.ch/ocub-115-la-neige-fond-a-lausanne-mais-sa-scene-culturelle-reste-solide/,Yoan,['https://www.lausannebondyblog.ch/author/yoan/']
59,«Back to the trees» au Théâtre 2.21,0,2018-10-19T17:04:53+00:00,https://www.lausannebondyblog.ch/back-to-the-trees-au-theatre-2-21/,Yoan,['https://www.lausannebondyblog.ch/author/yoan/']
60,Bouillonnement d’émotions en gare de Lausanne,5,2018-03-06T16:42:09+00:00,https://www.lausannebondyblog.ch/bouillonnement-demotions-en-gare-de-lausanne/,Camille Borgeaud,['https://www.lausannebondyblog.ch/author/camille/']
